Geo Point,County
"37.6504930265, -121.917998966",Alameda County
"38.5972506332, -119.82065303",Alpine County
"38.446389504, -120.651115621",Amador County
"39.6669293633, -121.600671735",Butte County
"38.204606803, -120.554132098",Calaveras County
"39.177573113, -122.237029616",Colusa County
"37.9233794475, -121.951073113",Contra Costa County
"41.744942366, -123.957801356",Del Norte County
"38.7787375794, -120.524649929",El Dorado County
"36.7581801263, -119.649322632",Fresno County
"39.5984047698, -122.392206808",Glenn County
"40.7050090829, -123.915819446",Humboldt County
"33.0395904342, -115.365336962",Imperial County
"36.5111268089, -117.410789686",Inyo County
"35.3428473738, -118.729900424",Kern County
"36.0753604529, -119.815502709",Kings County
"39.0996453445, -122.753183909",Lake County
"40.6735903894, -120.594332834",Lassen County
"34.1979978627, -118.26101385",Los Angeles County
"37.2180440575, -119.762644507",Madera County
"38.05518334, -122.748858563",Marin County
"37.5815223099, -119.905517029",Mariposa County
"39.4336238198, -123.431553907",Mendocino County
"37.191870471, -120.717688",Merced County
"41.5898335739, -120.725028959",Modoc County
"37.938990343, -118.886709262",Mono County
"36.2397743956, -121.308901554",Monterey County
"38.5064964441, -122.330538465",Napa County
"39.301369579, -120.768752113",Nevada County
"33.6769134328, -117.776142822",Orange County
"39.0634313879, -120.717645936",Placer County
"40.0046824769, -120.838597596",Plumas County
"33.7436800499, -115.993845895",Riverside County
"38.4493208547, -121.344253814",Sacramento County
"36.6057058971, -121.074995529",San Benito County
"37.7597150131, -122.693975573",San Francisco County
"34.8414378315, -116.17846142",San Bernardino County
"33.028186394, -116.770204664",San Diego County
"37.7597150131, -122.693975573",San Joaquin County
"35.38741848, -120.452196945",San Luis Obispo County
"37.4362097341, -122.355663195",San Mateo County
"34.5383440862, -120.030786183",Santa Barbara County
"37.2324840341, -121.696278854",Santa Clara County
"37.0216059108, -122.009787403",Santa Cruz County
"40.7637666014, -122.040521531",Shasta County
"39.5804001016, -120.515996378",Sierra County
"41.5926866339, -122.540367763",Siskiyou County
"38.2669127871, -121.940024418",Solano County
"38.525292575, -122.922544658",Sonoma County
"37.5591374435, -120.997682895",Stanislaus County
"39.0345595213, -121.694849665",Sutter County
"40.1257361849, -122.233884853",Tehama County
"40.6506935615, -123.112627727",Trinity County
"36.220156659, -118.80047248",Tulare County
"38.0276014047, -119.95475358",Tuolumne County
"34.3575285169, -119.126027193",Ventura County
"38.6866603948, -121.90161702",Yolo County
"39.2690076722, -121.351262732",Yuba County
