CALENDAR_YEAR,LOCATION_ID,LOCATION,ETHNICITY,EXPERIENCING_HOMELESSNESS
2017,All,California,Hispanic/Latinx,60962
2017,All,California,Not Hispanic/Latinx,119153
2017,All,California,Unknown,3791
2017,CA-500,Santa Clara County CoC,Hispanic/Latinx,5034
2017,CA-500,Santa Clara County CoC,Not Hispanic/Latinx,5074
2017,CA-500,Santa Clara County CoC,Unknown,57
2017,CA-501,San Francisco CoC,Hispanic/Latinx,1200
2017,CA-501,San Francisco CoC,Not Hispanic/Latinx,2887
2017,CA-501,San Francisco CoC,Unknown,268
2017,CA-502,Alameda County CoC,Hispanic/Latinx,1285
2017,CA-502,Alameda County CoC,Not Hispanic/Latinx,5278
2017,CA-502,Alameda County CoC,Unknown,46
2017,CA-503,Sacramento County CoC,Hispanic/Latinx,1855
2017,CA-503,Sacramento County CoC,Not Hispanic/Latinx,8512
2017,CA-503,Sacramento County CoC,Unknown,*
2017,CA-504,Sonoma County CoC,Hispanic/Latinx,870
2017,CA-504,Sonoma County CoC,Not Hispanic/Latinx,2202
2017,CA-504,Sonoma County CoC,Unknown,*
2017,CA-505,Contra Costa County CoC,Hispanic/Latinx,892
2017,CA-505,Contra Costa County CoC,Not Hispanic/Latinx,4033
2017,CA-505,Contra Costa County CoC,Unknown,35
2017,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latinx,1332
2017,CA-506,"Monterey, San Benito Counties CoC",Not Hispanic/Latinx,887
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-507,Marin County CoC,Hispanic/Latinx,359
2017,CA-507,Marin County CoC,Not Hispanic/Latinx,1234
2017,CA-507,Marin County CoC,Unknown,32
2017,CA-508,Santa Cruz County CoC,Hispanic/Latinx,667
2017,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1130
2017,CA-508,Santa Cruz County CoC,Unknown,48
2017,CA-509,Mendocino County CoC,Hispanic/Latinx,82
2017,CA-509,Mendocino County CoC,Not Hispanic/Latinx,622
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,Hispanic/Latinx,2801
2017,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,3361
2017,CA-510,Stanislaus County CoC,Unknown,*
2017,CA-511,San Joaquin County CoC,Hispanic/Latinx,3148
2017,CA-511,San Joaquin County CoC,Not Hispanic/Latinx,6124
2017,CA-511,San Joaquin County CoC,Unknown,347
2017,CA-512,San Mateo County CoC,Hispanic/Latinx,1507
2017,CA-512,San Mateo County CoC,Not Hispanic/Latinx,2612
2017,CA-512,San Mateo County CoC,Unknown,55
2017,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latinx,1446
2017,CA-513,"Kings, Tulare Counties CoC",Not Hispanic/Latinx,1508
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,15
2017,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latinx,976
2017,CA-514,"Fresno, Madera Counties CoC",Not Hispanic/Latinx,1213
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,11
2017,CA-515,Placer County CoC,Hispanic/Latinx,196
2017,CA-515,Placer County CoC,Not Hispanic/Latinx,1050
2017,CA-515,Placer County CoC,Unknown,25
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latinx,26
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Not Hispanic/Latinx,189
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,38
2017,CA-517,Napa County CoC,Hispanic/Latinx,312
2017,CA-517,Napa County CoC,Not Hispanic/Latinx,634
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-518,Solano County CoC,Hispanic/Latinx,164
2017,CA-518,Solano County CoC,Not Hispanic/Latinx,804
2017,CA-518,Solano County CoC,Unknown,39
2017,CA-519,Butte County CoC,Hispanic/Latinx,174
2017,CA-519,Butte County CoC,Not Hispanic/Latinx,1200
2017,CA-519,Butte County CoC,Unknown,*
2017,CA-520,Merced County CoC,Hispanic/Latinx,188
2017,CA-520,Merced County CoC,Not Hispanic/Latinx,415
2017,CA-520,Merced County CoC,Unknown,*
2017,CA-521,Yolo County CoC,Hispanic/Latinx,136
2017,CA-521,Yolo County CoC,Not Hispanic/Latinx,379
2017,CA-521,Yolo County CoC,Unknown,*
2017,CA-522,Humboldt County CoC,Hispanic/Latinx,132
2017,CA-522,Humboldt County CoC,Not Hispanic/Latinx,765
2017,CA-522,Humboldt County CoC,Unknown,37
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latinx,96
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Not Hispanic/Latinx,102
2017,CA-524,"Yuba, Sutter Counties CoC",Not Hispanic/Latinx,*
2017,CA-525,El Dorado County CoC,Hispanic/Latinx,27
2017,CA-525,El Dorado County CoC,Not Hispanic/Latinx,100
2017,CA-525,El Dorado County CoC,Unknown,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Hispanic/Latinx,64
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Not Hispanic/Latinx,318
2017,CA-527,Tehama County CoC,Hispanic/Latinx,43
2017,CA-527,Tehama County CoC,Not Hispanic/Latinx,352
2017,CA-527,Tehama County CoC,Unknown,*
2017,CA-529,Lake County CoC,Hispanic/Latinx,13
2017,CA-529,Lake County CoC,Not Hispanic/Latinx,38
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Hispanic/Latinx,40
2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Not Hispanic/Latinx,121
2017,CA-531,Nevada County CoC,Hispanic/Latinx,36
2017,CA-531,Nevada County CoC,Not Hispanic/Latinx,424
2017,CA-531,Nevada County CoC,Unknown,*
2017,CA-600,Los Angeles County CoC,Hispanic/Latinx,18482
2017,CA-600,Los Angeles County CoC,Not Hispanic/Latinx,36116
2017,CA-600,Los Angeles County CoC,Unknown,1991
2017,CA-601,San Diego County CoC,Hispanic/Latinx,3364
2017,CA-601,San Diego County CoC,Not Hispanic/Latinx,8128
2017,CA-601,San Diego County CoC,Unknown,92
2017,CA-602,Orange County CoC,Hispanic/Latinx,4067
2017,CA-602,Orange County CoC,Not Hispanic/Latinx,6079
2017,CA-602,Orange County CoC,Unknown,327
2017,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1212
2017,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1553
2017,CA-603,Santa Barbara County CoC,Unknown,69
2017,CA-604,Kern County CoC,Hispanic/Latinx,1691
2017,CA-604,Kern County CoC,Not Hispanic/Latinx,2927
2017,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,647
2017,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,1981
2017,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,525
2017,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,745
2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,122
2017,CA-608,Riverside County CoC,Hispanic/Latinx,2458
