CALENDAR_YEAR,LOCATION_ID,LOCATION,ETHNICITY,EXPERIENCING_HOMELESSNESS
2019,CA-500,Santa Clara County CoC,Hispanic/Latinx,5972
2019,CA-500,Santa Clara County CoC,Not Hispanic/Latinx,5938
2019,CA-501,San Francisco CoC,Hispanic/Latinx,2351
2019,CA-501,San Francisco CoC,Not Hispanic/Latinx,5429
2019,CA-502,Alameda County CoC,Hispanic/Latinx,1416
2019,CA-502,Alameda County CoC,Not Hispanic/Latinx,6111
2019,CA-503,Sacramento County CoC,Hispanic/Latinx,1949
2019,CA-503,Sacramento County CoC,Not Hispanic/Latinx,8989
2019,CA-504,Sonoma County CoC,Hispanic/Latinx,961
2019,CA-504,Sonoma County CoC,Not Hispanic/Latinx,2792
2019,CA-505,Contra Costa County CoC,Hispanic/Latinx,1166
2019,CA-505,Contra Costa County CoC,Not Hispanic/Latinx,4851
2019,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latinx,1532
2019,CA-506,"Monterey, San Benito Counties CoC",Not Hispanic/Latinx,861
2019,CA-507,Marin County CoC,Hispanic/Latinx,316
2019,CA-507,Marin County CoC,Not Hispanic/Latinx,879
2019,CA-508,Santa Cruz County CoC,Hispanic/Latinx,904
2019,CA-508,Santa Cruz County CoC,Not Hispanic/Latinx,1251
2019,CA-509,Mendocino County CoC,Hispanic/Latinx,119
2019,CA-509,Mendocino County CoC,Not Hispanic/Latinx,589
2019,CA-510,Stanislaus County CoC,Hispanic/Latinx,2600
2019,CA-510,Stanislaus County CoC,Not Hispanic/Latinx,3602
2019,CA-511,San Joaquin County CoC,Hispanic/Latinx,3850
2019,CA-511,San Joaquin County CoC,Not Hispanic/Latinx,7105
2019,CA-512,San Mateo County CoC,Hispanic/Latinx,1579
2019,CA-512,San Mateo County CoC,Not Hispanic/Latinx,2728
2019,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latinx,1767
2019,CA-513,"Kings, Tulare Counties CoC",Not Hispanic/Latinx,1658
2019,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latinx,1185
2019,CA-514,"Fresno, Madera Counties CoC",Not Hispanic/Latinx,1468
2019,CA-515,Placer County CoC,Hispanic/Latinx,312
2019,CA-515,Placer County CoC,Not Hispanic/Latinx,1340
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latinx,63
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Not Hispanic/Latinx,619
2019,CA-517,Napa County CoC,Hispanic/Latinx,295
2019,CA-517,Napa County CoC,Not Hispanic/Latinx,634
2019,CA-518,Solano County CoC,Hispanic/Latinx,205
2019,CA-518,Solano County CoC,Not Hispanic/Latinx,948
2019,CA-519,Butte County CoC,Hispanic/Latinx,208
2019,CA-519,Butte County CoC,Not Hispanic/Latinx,1532
2019,CA-520,Merced County CoC,Hispanic/Latinx,1701
2019,CA-520,Merced County CoC,Not Hispanic/Latinx,1425
2019,CA-521,Yolo County CoC,Hispanic/Latinx,373
2019,CA-521,Yolo County CoC,Not Hispanic/Latinx,776
2019,CA-522,Humboldt County CoC,Hispanic/Latinx,130
2019,CA-522,Humboldt County CoC,Not Hispanic/Latinx,1155
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latinx,155
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Not Hispanic/Latinx,227
2019,CA-524,"Yuba, Sutter Counties CoC",Not Hispanic/Latinx,21
2019,CA-525,El Dorado County CoC,Hispanic/Latinx,36
2019,CA-525,El Dorado County CoC,Not Hispanic/Latinx,183
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Hispanic/Latinx,72
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Not Hispanic/Latinx,314
2019,CA-527,Tehama County CoC,Hispanic/Latinx,49
2019,CA-527,Tehama County CoC,Not Hispanic/Latinx,320
2019,CA-529,Lake County CoC,Hispanic/Latinx,51
2019,CA-529,Lake County CoC,Not Hispanic/Latinx,199
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Hispanic/Latinx,42
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Not Hispanic/Latinx,111
2019,CA-531,Nevada County CoC,Hispanic/Latinx,44
2019,CA-531,Nevada County CoC,Not Hispanic/Latinx,561
2019,CA-600,Los Angeles County CoC,Hispanic/Latinx,28905
2019,CA-600,Los Angeles County CoC,Not Hispanic/Latinx,54261
2019,CA-601,San Diego County CoC,Hispanic/Latinx,4757
2019,CA-601,San Diego County CoC,Not Hispanic/Latinx,10962
2019,CA-602,Orange County CoC,Hispanic/Latinx,5091
2019,CA-602,Orange County CoC,Not Hispanic/Latinx,7238
2019,CA-603,Santa Barbara County CoC,Hispanic/Latinx,1151
2019,CA-603,Santa Barbara County CoC,Not Hispanic/Latinx,1607
2019,CA-604,Kern County CoC,Hispanic/Latinx,1865
2019,CA-604,Kern County CoC,Not Hispanic/Latinx,3254
2019,CA-606,Long Beach CoC (Los Angeles County),Hispanic/Latinx,983
2019,CA-606,Long Beach CoC (Los Angeles County),Not Hispanic/Latinx,2931
2019,CA-607,Pasadena CoC (Los Angeles County),Hispanic/Latinx,437
2019,CA-607,Pasadena CoC (Los Angeles County),Not Hispanic/Latinx,657
2019,CA-608,Riverside County CoC,Hispanic/Latinx,3078
2019,CA-608,Riverside County CoC,Not Hispanic/Latinx,4907
2019,CA-609,San Bernardino County CoC,Hispanic/Latinx,2871
2019,CA-609,San Bernardino County CoC,Not Hispanic/Latinx,5165
2019,CA-611,Ventura County CoC,Hispanic/Latinx,1125
2019,CA-611,Ventura County CoC,Not Hispanic/Latinx,921
2019,CA-612,Glendale CoC (Los Angeles County),Hispanic/Latinx,185
2019,CA-612,Glendale CoC (Los Angeles County),Not Hispanic/Latinx,262
2019,CA-613,Imperial County CoC,Hispanic/Latinx,704
2019,CA-613,Imperial County CoC,Not Hispanic/Latinx,105
2019,CA-614,San Luis Obispo County CoC,Hispanic/Latinx,618
2019,CA-614,San Luis Obispo County CoC,Not Hispanic/Latinx,1401
