"year","fips","pop2010","pop2024","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,6037,9821647,9539730,"California","CA",-0.028703637994727416,"Los Angeles County","Los Angeles County","los-angeles-county-ca",4058,2350.845243962543,0.2458563780815258,1,2350.845243962543,4058
2024,6073,3103260,3278716,"California","CA",0.056539252270193296,"San Diego County","San Diego County","san-diego-county-ca",4207,779.3477537437604,0.08449853827288067,2,779.3477537437604,4207
2024,6059,3016376,3131542,"California","CA",0.038180253390160956,"Orange County","Orange County","orange-county-ca",791,3958.965865992415,0.08070559375686498,3,3958.965865992415,791
2024,6065,2201562,2515350,"California","CA",0.14252971299468276,"Riverside County","Riverside County","riverside-county-ca",7206,349.06328059950044,0.06482519322951132,4,349.06328059950044,7206
2024,6071,2040803,2195204,"California","CA",0.07565698404010579,"San Bernardino County","San Bernardino County","san-bernardino-county-ca",20057,109.44827242359275,0.05657444231546153,5,109.44827242359275,20057
2024,6085,1786001,1839645,"California","CA",0.030035817449150404,"Santa Clara County","Santa Clara County","santa-clara-county-ca",1290,1426.0813953488373,0.04741103329505013,6,1426.0813953488373,1290
2024,6001,1512997,1599317,"California","CA",0.057052327268328984,"Alameda County","Alameda County","alameda-county-ca",739,2164.1637347767255,0.04121733896286495,7,2164.1637347767255,739
2024,6067,1421381,1576295,"California","CA",0.10898837116860283,"Sacramento County","Sacramento County","sacramento-county-ca",965,1633.4663212435232,0.040624019703704266,8,1633.4663212435232,965
2024,6013,1052516,1144302,"California","CA",0.08720627524902236,"Contra Costa County","Contra Costa County","contra-costa-county-ca",723,1582.713692946058,0.029490766001914744,9,1582.713692946058,723
2024,6019,932011,1019586,"California","CA",0.09396348326360959,"Fresno County","Fresno County","fresno-county-ca",5959,171.10018459473065,0.02627660542831197,10,171.10018459473065,5959
2024,6029,841365,923622,"California","CA",0.09776613003868717,"Kern County","Kern County","kern-county-ca",8132,113.57870142646335,0.023803436746785814,11,113.57870142646335,8132
2024,6111,825144,819099,"California","CA",-0.00732599400831857,"Ventura County","Ventura County","ventura-county-ca",1843,444.4378730330982,0.02110968690206114,12,444.4378730330982,1843
2024,6077,687115,803407,"California","CA",0.1692467781957896,"San Joaquin County","San Joaquin County","san-joaquin-county-ca",1391,577.5751258087706,0.020705275216944756,13,577.5751258087706,1391
2024,6075,805519,802805,"California","CA",-0.0033692563428050493,"San Francisco County","San Francisco County","san-francisco-county-ca",47,17080.957446808512,0.02068976057034521,14,17080.957446808512,47
2024,6081,719948,709423,"California","CA",-0.014619111380266392,"San Mateo County","San Mateo County","san-mateo-county-ca",448,1583.533482142857,0.018283134775064942,15,1583.533482142857,448
2024,6099,515137,548123,"California","CA",0.06403345129548055,"Stanislaus County","Stanislaus County","stanislaus-county-ca",1495,366.6374581939799,0.014126137272562239,16,366.6374581939799,1495
2024,6097,484675,479320,"California","CA",-0.011048640841801238,"Sonoma County","Sonoma County","sonoma-county-ca",1576,304.1370558375635,0.012352957488528181,17,304.1370558375635,1576
2024,6107,442953,478740,"California","CA",0.08079186730872134,"Tulare County","Tulare County","tulare-county-ca",4824,99.2412935323383,0.01233800982236915,18,99.2412935323383,4824
2024,6083,424218,456643,"California","CA",0.07643475760104468,"Santa Barbara County","Santa Barbara County","santa-barbara-county-ca",2735,166.96270566727605,0.011768529513548306,19,166.96270566727605,2735
2024,6095,413963,445541,"California","CA",0.0762821798083404,"Solano County","Solano County","solano-county-ca",822,542.0206812652068,0.011482410565793905,20,542.0206812652068,822
2024,6061,350007,427738,"California","CA",0.22208412974597658,"Placer County","Placer County","placer-county-ca",1407,304.0071073205402,0.011023594530226295,21,304.0071073205402,1407
2024,6053,416358,424076,"California","CA",0.0185369321593436,"Monterey County","Monterey County","monterey-county-ca",3281,129.2520572996038,0.010929218058718762,22,129.2520572996038,3281
2024,6047,256709,301126,"California","CA",0.173024708911647,"Merced County","Merced County","merced-county-ca",1935,155.6206718346253,0.007760570551386417,23,155.6206718346253,1935
2024,6079,269800,287443,"California","CA",0.0653928836174944,"San Luis Obispo County","San Luis Obispo County","san-luis-obispo-county-ca",3301,87.07755225689185,0.007407934489224331,24,87.07755225689185,3301
2024,6087,263174,272120,"California","CA",0.03399271964555761,"Santa Cruz County","Santa Cruz County","santa-cruz-county-ca",445,611.5056179775281,0.007013032612405676,25,611.5056179775281,445
