County,2019 Population Estimate,Area/sq mi,Density/sq mi
Alpine County,1129,738,1.53
Inyo County,18039,10181,1.77
Modoc County,8841,3915,2.26
Sierra County,3005,953,3.15
Trinity County,12285,3179,3.86
Mono County,14444,3049,4.74
Lassen County,30573,4541,6.73
Siskiyou County,43539,6278,6.94
Plumas County,18807,2553,7.37
Mariposa County,17203,1449,11.87
Colusa County,21547,1151,18.72
Glenn County,28393,1314,21.61
Tehama County,65084,2950,22.06
Tuolumne County,54478,2221,24.53
Mendocino County,86749,3506,24.74
Del Norte County,27812,1006,27.65
Humboldt County,135558,3568,37.99
Imperial County,181215,4177,43.38
Calaveras County,45905,1020,45
San Benito County,62808,1389,45.22
Shasta County,180080,3775,47.7
Lake County,64386,1256,51.26
Amador County,39752,595,66.81
Madera County,157327,2137,73.62
San Luis Obispo County,283111,3301,85.77
Tulare County,466195,4824,96.64
Nevada County,99755,958,104.13
San Bernardino County,2180085,20057,108.69
Kings County,152940,1389,110.11
Kern County,900202,8132,110.7
El Dorado County,192843,1708,112.91
Yuba County,78668,632,124.47
Monterey County,434061,3281,132.3
Butte County,219186,1636,133.98
Merced County,277680,1935,143.5
Sutter County,96971,602,161.08
Santa Barbara County,446499,2735,163.25
Fresno County,999101,5959,167.66
Napa County,137744,748,184.15
Yolo County,220500,1015,217.24
Placer County,398329,1407,283.11
Sonoma County,494336,1576,313.66
Riverside County,2470546,7206,342.85
Stanislaus County,550660,1495,368.33
Ventura County,846006,1843,459.04
Marin County,258826,520,497.74
Solano County,447643,822,544.58
San Joaquin County,762148,1391,547.91
Santa Cruz County,273213,445,613.96
San Diego County,3338330,4207,793.52
Santa Clara County,1927852,1290,1494.46
Contra Costa County,1153526,723,1595.47
Sacramento County,1552058,965,1608.35
San Mateo County,766573,448,1711.1
Alameda County,1671329,739,2261.61
Los Angeles County,10039107,4058,2473.91
Orange County,3175692,791,4014.78
San Francisco County,881549,47,18756.36
,,,5137.685
