County,Unemployment Rate,Density/sq mi
Alameda County,2.7,2261.61
Alpine County,4.8,1.53
Amador County,3.9,66.81
Butte County,4.5,133.98
Calaveras County,3.6,45
Colusa County,14.6,18.72
Contra Costa County,2.8,1595.47
Del Norte County,6,27.65
El Dorado County,3.2,112.91
Fresno County,7.2,167.66
Glenn County,5.8,21.61
Humboldt County,3.2,37.99
Imperial County,20.5,43.38
Inyo County,3.2,1.77
Kern County,7.5,110.7
Kings County,8.1,110.11
Lake County,5.4,51.26
Lassen County,4.5,6.73
Los Angeles County,4.2,2473.91
Madera County,6.9,73.62
Marin County,2.1,497.74
Mariposa County,4.5,11.87
Mendocino County,3.9,24.74
Merced County,8.3,143.5
Modoc County,7.4,2.26
Mono County,3.4,4.74
Monterey County,7.7,132.3
Napa County,3.1,184.15
Nevada County,3.1,104.13
Orange County,2.5,4014.78
Placer County,2.8,283.11
Plumas County,8.1,7.37
Riverside County,3.8,342.85
Sacramento County,3.4,1608.35
San Benito County,5,45.22
San Bernardino County,3.4,108.69
San Diego County,2.9,793.52
San Francisco County,2,18756.36
San Joaquin County,5.9,547.91
San Luis Obispo County,2.7,85.77
San Mateo County,1.8,1711.1
Santa Barbara County,3.6,163.25
Santa Clara County,2.3,1494.46
Santa Cruz County,5.1,613.96
Shasta County,4.4,47.7
Sierra County,4.8,3.15
Siskiyou County,6.7,6.94
Solano County,3.5,544.58
Sonoma County,2.5,313.66
Stanislaus County,5.9,368.33
Sutter County,7.7,161.08
Tehama County,5.2,22.06
Trinity County,5.5,3.86
Tulare County,9.9,96.64
Tuolumne County,4.2,24.53
Ventura County,3.5,459.04
Yolo County,4.1,217.24
Yuba County,5.9,124.47
,,5137.685
